Name,Cons_den,Duration,Assign,Ac_iter,Satisfied
dom10-var100-den0.6-seed0-ts1663245590.dump,0.1,19.291043758392334,20000,4.54205,True
dom10-var100-den0.7-seed0-ts1663246083.dump,0.25,16.879315614700317,20000,4.07035,True
dom10-var100-den0.9-seed0-ts1663246471.dump,0.5,15.860125064849854,20000,3.78085,True
dom10-var100-den0.9-seed0-ts1663246471.dump,0.75,15.10805344581604,20000,3.5835,True
dom10-var100-den0.9-seed0-ts1663246471.dump,1.0,14.73193645477295,20000,3.4762,True
dom10-var250-den0.7-seed0-ts1663304709.dump,0.1,19.395622491836548,20000,4.6759,True
dom10-var250-den0.8-seed0-ts1663304880.dump,0.25,17.436044692993164,20000,4.1552,True
dom10-var250-den0.9-seed0-ts1663305019.dump,0.5,16.280381202697754,20000,3.8236,True
dom10-var250-den0.9-seed0-ts1663305019.dump,0.75,15.38981318473816,20000,3.6452,True
dom10-var250-den0.9-seed0-ts1663305019.dump,1.0,14.914697170257568,20000,3.4234,True
dom10-var500-den0.7-seed0-ts1663298038.dump,0.1,24.305983543395996,20000,4.4364,True
dom10-var500-den0.8-seed0-ts1663298187.dump,0.25,25.688934087753296,20000,4.08505,True
dom10-var500-den0.9-seed0-ts1663298354.dump,0.5,23.96523380279541,20000,3.94225,True
dom10-var500-den0.9-seed0-ts1663298354.dump,0.75,26.361812591552734,20000,3.69975,True
dom10-var500-den0.9-seed0-ts1663298354.dump,1.0,27.91361141204834,20000,3.4529,True
dom10-var750-den0.8-seed0-ts1663305372.dump,0.1,36.402844190597534,20000,4.8445,True
dom10-var750-den0.8-seed0-ts1663305372.dump,0.25,44.52968955039978,20000,4.03885,True
dom10-var750-den0.9-seed0-ts1663305586.dump,0.5,40.8760826587677,20000,3.88535,True
dom10-var750-den0.9-seed0-ts1663305586.dump,0.75,46.152512550354004,20000,3.67515,True
dom10-var750-den0.95-seed0-ts1663305869.dump,1.0,36.953091859817505,20000,3.59715,True
dom10-var1000-den0.8-seed0-ts1663250612.dump,0.1,54.89268231391907,20000,4.8645,True
dom10-var1000-den0.9-seed0-ts1663304383.dump,0.25,52.62609243392944,20000,4.3591,True
dom10-var1000-den0.95-seed0-ts1663248381.dump,0.5,48.03161668777466,20000,4.03125,True
dom10-var1000-den0.95-seed0-ts1663248381.dump,0.75,53.6127564907074,20000,3.7343,True
dom10-var1000-den0.95-seed0-ts1663248381.dump,1.0,58.86505389213562,20000,3.60215,True








Name,Cons_den,Duration,Assign,Ac_iter,Satisfied
dom10-var100-den0.6-seed0-ts1663245590.dump,0.1,44.74819207191467,50000,4.50948,True
dom10-var100-den0.7-seed0-ts1663246083.dump,0.25,40.378385066986084,50000,4.10302,True
dom10-var100-den0.9-seed0-ts1663246471.dump,0.5,37.33567953109741,50000,3.75202,True
dom10-var100-den0.9-seed0-ts1663246471.dump,0.75,35.79517340660095,50000,3.5729,True
dom10-var100-den0.9-seed0-ts1663246471.dump,1.0,34.831167697906494,50000,3.46204,True
dom10-var250-den0.7-seed0-ts1663304709.dump,0.1,47.296934843063354,50000,4.8042,True
dom10-var250-den0.8-seed0-ts1663304880.dump,0.25,41.56643605232239,50000,4.16684,True
dom10-var250-den0.9-seed0-ts1663305019.dump,0.5,38.328195095062256,50000,3.79372,True
dom10-var250-den0.9-seed0-ts1663305019.dump,0.75,37.132341623306274,50000,3.61654,True
dom10-var250-den0.9-seed0-ts1663305019.dump,1.0,36.873393297195435,50000,3.44136,True
dom10-var500-den0.7-seed0-ts1663298038.dump,0.1,63.34052038192749,50000,4.61978,True
dom10-var500-den0.8-seed0-ts1663298187.dump,0.25,64.69968485832214,50000,4.12648,True
dom10-var500-den0.9-seed0-ts1663298354.dump,0.5,59.73073387145996,50000,3.95246,True
dom10-var500-den0.9-seed0-ts1663298354.dump,0.75,65.53169894218445,50000,3.72844,True
dom10-var500-den0.9-seed0-ts1663298354.dump,1.0,30.873488664627075,22256,3.454933501078361,False
dom10-var750-den0.8-seed0-ts1663305372.dump,0.1,89.53184199333191,50000,4.76592,True
dom10-var750-den0.8-seed0-ts1663305372.dump,0.25,80.38854718208313,36360,4.02018701870187,False
dom10-var750-den0.9-seed0-ts1663305586.dump,0.5,101.16809964179993,50000,3.93992,True
dom10-var750-den0.9-seed0-ts1663305586.dump,0.75,116.02754521369934,50000,3.70318,True
dom10-var750-den0.95-seed0-ts1663305869.dump,1.0,92.33910036087036,50000,3.59658,True
dom10-var1000-den0.8-seed0-ts1663250612.dump,0.1,134.88111925125122,50000,4.83142,True
dom10-var1000-den0.9-seed0-ts1663304383.dump,0.25,134.76497387886047,50000,4.38092,True
dom10-var1000-den0.95-seed0-ts1663248381.dump,0.5,119.27834701538086,50000,4.0485,True
dom10-var1000-den0.95-seed0-ts1663248381.dump,0.75,134.50676131248474,50000,3.7549,True
dom10-var1000-den0.95-seed0-ts1663248381.dump,1.0,146.15620636940002,50000,3.55604,True
